TIPREG,DATAPREG,CODDBI,CODNEG,TPMERC,NOMRES,ESPECI,PRAZOT,MODREF,PREABE,PREMAX,PREMIN,PREMED,PREULT,PREOFC,PREOFV,TOTNEG,QUATOT,VOLTOT,PREEXE,INDOPC,DATVEN,FATCOT,PTOEXE,CODISI,DISMES
1,2016-02-17,78,ITUBD46,70,ITUB,PN N1,000,R$,1.34,1.8,1.34,1.56,1.55,0.81,2.89,13,33100,51844.0,25.33,0,2016-04-18,1,0.0,BRITUBACNPR1,189
1,2016-02-17,78,ITUBD50,70,ITUBE,PN N1,000,R$,0.41,0.47,0.4,0.4,0.47,0.1,0.39,9,34500,14140.0,28.74,0,2016-04-18,1,0.0,BRITUBACNPR1,189
1,2016-02-17,78,ITUBD59,70,ITUB,PN N1,000,R$,0.03,0.03,0.03,0.03,0.03,0.0,0.0,5,20000,600.0,34.88,0,2016-04-18,1,0.0,BRITUBACNPR1,188
1,2016-02-17,78,ITUBD6,70,ITUB FM,PN N1,000,R$,1.27,1.6,1.08,1.36,1.28,0.0,0.0,101,218300,297658.0,25.83,0,2016-04-18,1,0.0,BRITUBACNPR1,196
1,2016-02-17,78,ITUBD64,70,ITUB FM,PN N1,000,R$,1.96,2.35,1.7,2.06,2.01,0.0,0.0,173,357800,737113.0,24.54,0,2016-04-18,1,0.0,BRITUBACNPR1,202
1,2016-02-17,78,ITUBD66,70,ITUBE,PN N1,000,R$,1.25,1.29,1.25,1.26,1.28,0.65,1.79,3,400,507.0,26.08,0,2016-04-18,1,0.0,BRITUBACNPR1,200
1,2016-02-17,78,ITUBD67,70,ITUB,PN N1,000,R$,0.67,0.81,0.67,0.74,0.73,0.0,0.9,7,13800,10343.0,27.33,0,2016-04-18,1,0.0,BRITUBACNPR1,197
1,2016-02-17,78,ITUBD68,70,ITUB FM,PN N1,000,R$,0.49,0.63,0.49,0.53,0.54,0.29,0.0,32,99000,53065.0,28.08,0,2016-04-18,1,0.0,BRITUBACNPR1,200
1,2016-02-17,78,ITUBD7,70,ITUBE,PN N1,000,R$,0.7,0.76,0.7,0.75,0.76,0.0,0.84,6,2700,2029.0,27.58,0,2016-04-18,1,0.0,BRITUBACNPR1,200
1,2016-02-17,78,ITUBD73,70,ITUBE,PN N1,000,R$,0.29,0.31,0.29,0.29,0.31,0.0,0.33,4,2900,847.0,29.65,0,2016-04-18,1,0.0,BRITUBACNPR1,189
1,2016-02-17,78,ITUBD76,70,ITUBE,PN N1,000,R$,0.97,0.97,0.97,0.97,0.97,0.5,1.29,1,200,194.0,26.58,0,2016-04-18,1,0.0,BRITUBACNPR1,198
1,2016-02-17,78,ITUBD77,70,ITUBE,PN N1,000,R$,0.65,0.93,0.65,0.79,0.84,0.13,1.0,8,74600,59031.0,27.08,0,2016-04-18,1,0.0,BRITUBACNPR1,197
1,2016-02-17,78,ITUBD78,70,ITUBE,PN N1,000,R$,0.47,0.5,0.47,0.49,0.5,0.0,0.59,20,79200,39318.0,28.33,0,2016-04-18,1,0.0,BRITUBACNPR1,202
1,2016-02-17,78,ITUBD87,70,ITUBE,PN N1,000,R$,0.6,0.6,0.6,0.6,0.6,0.0,0.0,1,2000,1200.0,27.83,0,2016-04-18,1,0.0,BRITUBACNPR1,189
1,2016-02-17,78,ITUBD95,70,ITUBE,PN N1,000,R$,1.49,1.49,1.44,1.47,1.44,0.0,2.29,5,10800,15916.0,25.58,0,2016-04-18,1,0.0,BRITUBACNPR1,198
1,2016-02-17,78,ITUBE11,70,ITUB,PN N1,000,R$,0.4,0.4,0.32,0.36,0.34,0.0,0.41,7,16000,5860.0,30.79,0,2016-05-16,1,0.0,BRITUBACNPR1,189
1,2016-02-17,78,ITUBE15,70,ITUB,PN N1,000,R$,2.15,2.15,2.15,2.15,2.15,0.0,0.0,1,4000,8600.0,25.27,0,2016-05-16,1,0.0,BRITUBACNPR1,202
1,2016-02-17,78,ITUBE18,70,ITUBE,PN N1,000,R$,0.4,0.4,0.4,0.4,0.4,0.0,0.55,1,100,40.0,30.56,0,2016-05-16,1,0.0,BRITUBACNPR1,190
1,2016-02-17,78,ITUBE20,70,ITUB,PN N1,000,R$,1.32,1.32,1.24,1.27,1.24,0.0,0.0,3,8400,10742.0,27.15,0,2016-05-16,1,0.0,BRITUBACNPR1,190
1,2016-02-17,78,ITUBE21,70,ITUB,PN N1,000,R$,0.86,1.04,0.86,0.89,1.04,0.0,0.0,12,28800,25782.0,28.06,0,2016-05-16,1,0.0,BRITUBACNPR1,189
1,2016-02-17,78,ITUBE24,70,ITUBE,PN N1,000,R$,1.12,1.12,1.12,1.12,1.12,0.0,1.53,1,3300,3696.0,27.38,0,2016-05-16,1,0.0,BRITUBACNPR1,190
1,2016-02-17,78,ITUBE26,70,ITUB,PN N1,000,R$,1.12,1.12,1.12,1.12,1.12,0.0,0.0,1,3400,3808.0,27.61,0,2016-05-16,1,0.0,BRITUBACNPR1,190
1,2016-02-17,78,ITUBE29,70,ITUB,PN N1,000,R$,1.86,1.86,1.86,1.86,1.86,0.0,0.0,1,4000,7440.0,25.79,0,2016-05-16,1,0.0,BRITUBACNPR1,190
1,2016-02-17,78,ITUBE56,70,ITUB,PN N1,000,R$,1.62,1.62,1.62,1.62,1.62,0.0,0.0,1,4000,6480.0,26.29,0,2016-05-16,1,0.0,BRITUBACNPR1,201
1,2016-02-17,78,ITUBE6,70,ITUBE,PN N1,000,R$,1.43,1.43,1.43,1.43,1.43,0.0,0.0,1,100,143.0,26.54,0,2016-05-16,1,0.0,BRITUBACNPR1,202
1,2016-02-17,78,ITUBE63,70,ITUB,PN N1,000,R$,2.5,2.5,2.5,2.5,2.5,0.0,0.0,1,8000,20000.0,23.79,0,2016-05-16,1,0.0,BRITUBACNPR1,202
1,2016-02-17,78,ITUBE65,70,ITUBE,PN N1,000,R$,2.23,2.23,2.23,2.23,2.23,0.0,0.0,1,2200,4906.0,25.02,0,2016-05-16,1,0.0,BRITUBACNPR1,197
1,2016-02-17,78,ITUBE66,70,ITUBE,PN N1,000,R$,1.74,1.83,1.72,1.74,1.83,0.0,2.87,3,4200,7315.0,26.04,0,2016-05-16,1,0.0,BRITUBACNPR1,197
